2025-11-04 21:34:34 | INFO | fintrack.test | info de inicialização
2025-11-04 21:34:34 | WARNING | fintrack.test | aviso teste
2025-11-04 21:34:34 | ERROR | fintrack.test | erro simulado
2025-11-04 22:03:02 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 18:12:58 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 18:13:05 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 18:17:21 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 18:33:04 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 18:33:15 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 18:33:47 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 18:51:52 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:05:43 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:06:31 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:07:08 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:07:56 | INFO | fintrack.API | 0 transações retornadas.
2025-11-10 19:13:08 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:13:31 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:14:47 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:15:02 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:15:04 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:16:40 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:17:19 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:17:20 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:17:24 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:19:07 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:31:19 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:39:10 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:39:11 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:40:06 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:40:15 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:41:13 | INFO | fintrack.API | API inicializada e banco configurado.
2025-11-10 19:41:31 | INFO | fintrack.API | API inicializada e banco configurado.
